Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,021385397291191","5,25169810653347E-06","0,0469766803177353",0,0,0,"1,61129016278306","0,00729579790366393","-1,00730993267901E-08","4,04800061291069E-05","0,0102401657963008","1,18114222568118E-08","0,0171542213638773",0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/base_link.STL,,Chasis-1;JGA25-370-1;JGA25-370-2;JGA25-370-3;JGA25-370-4;Super_CAMARA_90640-1;Camera Moudule 3 v8-1,SC_Central,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rueda_delante_izquierda_link,"4,4236E-09","-0,011457","-1,8099E-08",0,0,0,"0,16695","6,7293E-05","-7,7682E-13","-1,0817E-09","0,00011321","3,1219E-12","6,7296E-05",0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/rueda_delante_izquierda_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/rueda_delante_izquierda_link.STL,,Wheel D65x25-1,SC_RuedaDelanteIzquierda,Eje_RuedaDelanteIzquierda,rueda_delante_izquierda_joint,continuous,"0,090125","0,14065","0,0125",0,0,0,base_link,0,1,0,,,,,,,,,,,,
rueda_delante_derecha_link,"-1,8593E-08","0,011457","-1,3155E-09",0,0,0,"0,16695","6,7296E-05","-3,2303E-12","5,9539E-12","0,00011321","-2,4005E-13","6,7293E-05",0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/rueda_delante_derecha_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/rueda_delante_derecha_link.STL,,Wheel D65x25-3,SC_RuedaDelanteDerecha,Eje_RuedaDelanteDerecha,rueda_delante_derecha_joint,continuous,"0,090125","-0,14075","0,0125",0,0,0,base_link,0,1,0,,,,,,,,,,,,
rueda_trasera_izquierda_link,"-1,5737E-08","-0,011457","-9,9717E-09",0,0,0,"0,16695","6,7295E-05","2,6991E-12","1,7823E-09","0,00011321","1,7238E-12","6,7294E-05",0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/rueda_trasera_izquierda_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/rueda_trasera_izquierda_link.STL,,Wheel D65x25-2,SC_RuedaTraseraIzquierda,Eje_RuedaTraseraIzquierda,rueda_trasera_izquierda_joint,continuous,"-0,10111","0,14075","0,0125",0,0,0,base_link,0,1,0,,,,,,,,,,,,
rueda_trasera_derecha_link,"-1,8576E-08","0,011457","-1,4516E-09",0,0,0,"0,16695","6,7296E-05","-3,198E-12","3,2541E-11","0,00011321","-2,4683E-13","6,7293E-05",0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/rueda_trasera_derecha_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/rueda_trasera_derecha_link.STL,,Wheel D65x25-4,SC_RuedaTraseraDerecha,Eje_RuedaTraseraDerecha,rueda_trasera_derecha_joint,continuous,"-0,10111","-0,14075","0,0125",0,0,0,base_link,0,1,0,,,,,,,,,,,,
lidar_link,"0,0051275","0,00059155","-0,019551",0,0,0,"0,14165","5,691E-05","-2,879E-07","1,2475E-05","8,9322E-05","-7,2186E-07","0,0001087",0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/lidar_link.STL,"0,21176","0,21176","0,20392",1,0,0,0,0,0,0,package://Ensamblaje_URDF_Final/meshes/lidar_link.STL,,Lidar A1M8-1,SC_Lidar,,lidar_joint,fixed,"-0,0539","-3,5032E-05","0,17",0,0,0,base_link,0,0,0,,,,,,,,,,,,
